------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
------------------------------


------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N
      5. C2H3 + H(S) + C(B)  => C2H4 + C.(S) 
         k:       1.000000e+08	    0.00      13000.00


      6. C2H4 + C.(S)  => C2H3 + H(S) + C(B) 
         k:       4.720000e+08	    0.00       9866.00


      7. C2H5 + H(S) + C(B)  => C2H6 + C.(S) 
         k:       1.000000e+08	    0.00      15000.00


      8. C2H6 + C.(S)  => C2H5 + H(S) + C(B) 
         k:       5.100000e+08	    0.00       2608.00


      9. C4H3 + H(S) + C(B)  => C4H4 + C.(S) 
         k:       1.050000e+08	    0.00      20000.00


     10. C4H4 + C.(S)  => C4H3 + H(S) + C(B) 
         k:       8.010000e+09	    0.00       -620.00


     11. CH2CHCH2 + H(S) + C(B)  => C3H6 + C.(S) 
         k:       1.050000e+08	    0.00      20000.00


     12. C3H6 + C.(S)  => CH2CHCH2 + H(S) + C(B) 
         k:       4.540000e+07	    0.00      -5888.00


     13. C7H7 + H(S) + C(B)  => C7H8 + C.(S) 
         k:       7.630000e+10	    0.00      35866.00


     14. C7H8 + C.(S)  => C7H7 + H(S) + C(B) 
         k:       7.900000e+10	    0.00      12000.00


     15. INDENYL + H(S) + C(B)  => INDENE + C.(S) 
         k:       6.400000e+10	    0.00      42637.00


     16. INDENE + C.(S)  => INDENYL + H(S) + C(B) 
         k:       1.000000e+11	    0.00      12000.00


     17. H(S) + C(B)  => H + C.(S) 
         k:       1.780000e+16	    0.00     112512.00


     18. H + C.(S)  => H(S) + C(B) 
         k:       1.000000e+11	    0.00          0.00


     19. C2H2 + C.(S)  => CHCH.(S) + C(B) 
         k:       4.150000e+19	   -2.70      17464.00


     20. CHCH.(S) + C(B)  => C2H2 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     21. CHCH.(S)  => 2H(S) + 2C(B) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     22. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CHCH.(S): 
                  0.00	1.00	0.00	


     23. CHCH.(S)  => 2H(S) + 2C(B) 
         k:       8.130000e+09	    0.10       2090.00
         Coverage dependent parameters for species C.(S): 
                  0.00	1.00	0.00	


     24. C.(S)  => C(B) 
         k:       8.130000e+09	    0.10       2090.00
         Coverage dependent parameters for species CHCH.(S): 
                  0.00	1.00	0.00	


     25. C2H4 + C.(S)  => CH2CH2.(S) + C(B) 
         k:       1.250000e+09	    0.00       6200.00


     26. CH2CH2.(S) + C(B)  => C2H4 + C.(S) 
         k:       3.010000e+46	  -10.50      50746.00


     27. CH2CH2.(S)  => CH2CH2(S) 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species H(S): 
                  0.00	1.00	0.00	


     28. H(S)  => H 
         k:       2.300000e+11	    0.00        400.00
         Coverage dependent parameters for species CH2CH2.(S): 
                  0.00	1.00	0.00	


     29. H + CH2CH2(S)  => H2 + CH.CH2(S) 
         k:       1.100000e+02	    2.50      -1900.00


